openalex_id,title,community_id,is_a_inter,is_a_inter_top_paths,is_a_inter_institution_paths,bridge_freq_top,bridge_freq_institutions,bridge_freq_total,bridge_fraction_top,bridge_fraction_institutions,pagerank,authority,hub,approx_betweenness_path_subgraph,eigenvector_path_subgraph,harmonic_to_unicamp_sampled,harmonic_to_top_tier_sampled,bridge_proximity,is_unicamp,is_top_tier,is_important_institution
W1408639475,Learning Recurrent Neural Networks with Hessian-Free Optimization,0,True,True,True,11,1,12,0.0002959535083943177,1.400089605734767e-05,4.136860673183782e-05,8.640224196392205e-05,2.2548521856064948e-05,1.6348587293193322e-05,0.0029630703421503687,0.1951760912698412,0.32669270833333347,0.7039312204776823,False,False,False
W142616426,On the Reuse and Maintenance of Aspect-Oriented Software: An Assessment Framework,12,True,True,False,1,0,1,2.6904864399483427e-05,0.0,3.0101346079393206e-05,8.765157406877817e-08,1.0195204232719754e-07,0.0,3.855485082276396e-06,0.14664558531746022,0.214285714285714,0.4941721937129672,False,False,False
W1427174644,"FLUSH+RELOAD: a high resolution, low noise, L3 cache side-channel attack",14,True,True,False,1,0,1,2.6904864399483427e-05,0.0,2.0989153315640567e-05,4.777485748586986e-08,9.03539507785866e-08,0.0,7.73976975051559e-06,0.1779144683441557,0.258798363095238,0.5981823500964661,False,False,False
W143425341,A generalized composition algorithm for weighted finite-state transducers,25,True,True,True,21,76,97,0.000565002152389152,0.001064068100358423,6.162361851594137e-06,0.0,1.6493873351762482e-10,0.0,1.805282961298308e-09,0.11897273733211221,0.16089409722222214,0.3856923110844032,False,False,False
W1435010830,ClickOS and the Art of Network Function Virtualization,2,True,True,False,1,0,1,2.6904864399483427e-05,0.0,0.00010405691990239588,9.126885847150261e-06,7.070819182848756e-09,2.64264141086684e-07,5.8853689782812785e-05,0.18225446428571415,0.26184895833333316,0.6089921735299765,False,False,False
W1441652847,Minimizing certain convex functions over the intersection of the fixed point sets of nonexpansive mappings,6,True,False,True,0,1,1,0.0,1.400089605734767e-05,1.5101160369699454e-05,1.2685179429038754e-09,5.769431966858533e-09,0.0,1.3723109358822633e-06,0.13806733630952367,0.20093936011904745,0.4643283268616155,False,False,False
W1442374986,Project Adam: building an efficient and scalable deep learning training system,0,True,True,True,19,3,22,0.0005111924235901851,4.2002688172043014e-05,4.072085432456297e-05,0.0002772323163722296,0.0001702467183823143,0.0,0.014135023606517468,0.20890376984126977,0.37083333333333357,0.7759070886895619,False,False,False
W145670326,A survey on routing algorithms for wireless Ad-Hoc and mesh networks,14,True,False,True,0,1,1,0.0,1.400089605734767e-05,8.534905060754315e-06,2.583508872221588e-07,7.849022990428684e-09,2.335231422024124e-05,8.622218238089192e-06,0.17218191964285703,0.2427827380952378,0.5699672128388262,False,False,False
W146770048,A social reasoning mechanism based on dependence networks,19,True,True,True,73,175,248,0.00196405510116229,0.0024501568100358424,1.140098748796516e-05,1.4779682918412198e-87,1.4112148549748898e-10,0.0,1.0966880040969511e-29,0.0,0.0,0.0,False,False,False
W146984120,Informing Loads: Enabling Software to Observe and React to Memory Behavior,16,True,True,False,1,0,1,2.6904864399483427e-05,0.0,6.162361851594137e-06,0.0,4.454087971557158e-10,0.0,1.9000476139032826e-08,0.13435668064574302,0.1763485863095238,0.4291042566371741,False,False,False
